,0
"(0, 0, 276183)",0.990365
"(0, 0, 276184)",1.02132
"(0, 0, 275911)",1.05597
"(0, 0, 275912)",1.06035
"(0, 0, 276240)",0.974719
"(0, 0, 276241)",0.99327
"(0, 0, 276264)",0.970804
"(0, 0, 276265)",1.23721
"(0, 0, 276268)",1.04793
"(0, 0, 276269)",1.08745
"(0, 0, 276737)",1.31578
"(0, 0, 276738)",1.26751
"(0, 1, 276183)",0.989297
"(0, 1, 276184)",0.992447
"(0, 1, 275911)",1.106
"(0, 1, 275912)",1.06235
"(0, 1, 276240)",0.997483
"(0, 1, 276241)",1.02734
"(0, 1, 276264)",0.993748
"(0, 1, 276265)",1.234
"(0, 1, 276268)",1.12211
"(0, 1, 276269)",1.07386
"(0, 1, 276737)",1.34751
"(0, 1, 276738)",1.23127
"(0, 2, 276183)",1.00151
"(0, 2, 276184)",1.01252
"(0, 2, 275911)",1.04572
"(0, 2, 275912)",1.09456
"(0, 2, 276240)",0.940389
"(0, 2, 276241)",0.995327
"(0, 2, 276264)",0.990229
"(0, 2, 276265)",1.2882
"(0, 2, 276268)",1.00698
"(0, 2, 276269)",1.05132
"(0, 2, 276737)",1.37666
"(0, 2, 276738)",1.29914
"(1, 0, 276183)",0.993483
"(1, 0, 276184)",1.02712
"(1, 0, 275911)",1.06346
"(1, 0, 275912)",1.0522
"(1, 0, 276240)",1.01595
"(1, 0, 276241)",1.01043
"(1, 0, 276264)",0.983677
"(1, 0, 276265)",1.29718
"(1, 0, 276268)",1.08008
"(1, 0, 276269)",1.05762
"(1, 0, 276737)",1.41415
"(1, 0, 276738)",1.22579
"(1, 1, 276183)",1.01506
"(1, 1, 276184)",1.03302
"(1, 1, 275911)",1.1521
"(1, 1, 275912)",1.09986
"(1, 1, 276240)",1.0125
"(1, 1, 276241)",1.02971
"(1, 1, 276264)",0.984964
"(1, 1, 276265)",1.25713
"(1, 1, 276268)",1.07522
"(1, 1, 276269)",1.04705
"(1, 1, 276737)",1.74584
"(1, 1, 276738)",1.29843
"(1, 2, 276183)",1.00103
"(1, 2, 276184)",1.04892
"(1, 2, 275911)",1.11932
"(1, 2, 275912)",1.10949
"(1, 2, 276240)",1.02207
"(1, 2, 276241)",0.993638
"(1, 2, 276264)",1.01125
"(1, 2, 276265)",1.22471
"(1, 2, 276268)",1.11352
"(1, 2, 276269)",1.06716
"(1, 2, 276737)",1.57128
"(1, 2, 276738)",1.27007
"(2, 0, 276183)",1.10104
"(2, 0, 276184)",1.09131
"(2, 0, 275911)",1.11407
"(2, 0, 275912)",1.09021
"(2, 0, 276240)",1.0119
"(2, 0, 276241)",1.0521
"(2, 0, 276264)",1.00194
"(2, 0, 276265)",1.18831
"(2, 0, 276268)",1.1829
"(2, 0, 276269)",1.13968
"(2, 0, 276737)",1.4326299999999998
"(2, 0, 276738)",1.41042
"(2, 1, 276183)",1.25968
"(2, 1, 276184)",1.10263
"(2, 1, 275911)",1.26736
"(2, 1, 275912)",1.09949
"(2, 1, 276240)",1.05178
"(2, 1, 276241)",1.0405
"(2, 1, 276264)",1.01479
"(2, 1, 276265)",1.2587700000000002
"(2, 1, 276268)",1.11186
"(2, 1, 276269)",1.14164
"(2, 1, 276737)",1.6443599999999998
"(2, 1, 276738)",1.7389400000000002
"(2, 2, 276183)",1.17942
"(2, 2, 276184)",1.13056
"(2, 2, 275911)",1.84868
"(2, 2, 275912)",1.13701
"(2, 2, 276240)",1.0582
"(2, 2, 276241)",1.0365
"(2, 2, 276264)",1.01344
"(2, 2, 276265)",1.22809
"(2, 2, 276268)",1.10951
"(2, 2, 276269)",1.11772
"(2, 2, 276737)",1.46298
"(2, 2, 276738)",1.67537
"(3, 0, 276183)",1.00348
"(3, 0, 276184)",1.13232
"(3, 0, 275911)",1.54693
"(3, 0, 275912)",1.14446
"(3, 0, 276240)",1.00895
"(3, 0, 276241)",1.02117
"(3, 0, 276264)",1.02354
"(3, 0, 276265)",1.18315
"(3, 0, 276268)",1.10045
"(3, 0, 276269)",1.12409
"(3, 0, 276737)",1.62641
"(3, 0, 276738)",1.62838
"(3, 1, 276183)",1.03006
"(3, 1, 276184)",1.14046
"(3, 1, 275911)",1.3208
"(3, 1, 275912)",1.17218
"(3, 1, 276240)",1.10474
"(3, 1, 276241)",1.01723
"(3, 1, 276264)",1.08535
"(3, 1, 276265)",1.26251
"(3, 1, 276268)",1.08989
"(3, 1, 276269)",1.15872
"(3, 1, 276737)",1.38919
"(3, 1, 276738)",1.60406
"(3, 2, 276183)",1.05959
"(3, 2, 276184)",1.13558
"(3, 2, 275911)",1.16198
"(3, 2, 275912)",1.14671
"(3, 2, 276240)",1.04098
"(3, 2, 276241)",1.0373
"(3, 2, 276264)",1.12426
"(3, 2, 276265)",1.22012
"(3, 2, 276268)",1.05247
"(3, 2, 276269)",1.15133
"(3, 2, 276737)",1.72605
"(3, 2, 276738)",1.62543
"(4, 0, 276183)",1.00813
"(4, 0, 276184)",1.07487
"(4, 0, 275911)",1.17879
"(4, 0, 275912)",1.19343
"(4, 0, 276240)",0.983963
"(4, 0, 276241)",1.01698
"(4, 0, 276264)",1.30018
"(4, 0, 276265)",1.28178
"(4, 0, 276268)",1.08823
"(4, 0, 276269)",1.11307
"(4, 0, 276737)",1.58111
"(4, 0, 276738)",2.6695
"(4, 1, 276183)",1.0177
"(4, 1, 276184)",1.07751
"(4, 1, 275911)",1.11658
"(4, 1, 275912)",1.25725
"(4, 1, 276240)",1.03622
"(4, 1, 276241)",1.02585
"(4, 1, 276264)",1.04271
"(4, 1, 276265)",1.22683
"(4, 1, 276268)",1.11864
"(4, 1, 276269)",1.13053
"(4, 1, 276737)",1.61346
"(4, 1, 276738)",1.78483
"(4, 2, 276183)",1.0162
"(4, 2, 276184)",1.09144
"(4, 2, 275911)",1.10541
"(4, 2, 275912)",1.2082700000000002
"(4, 2, 276240)",1.06233
"(4, 2, 276241)",1.0484
"(4, 2, 276264)",1.06137
"(4, 2, 276265)",1.25144
"(4, 2, 276268)",1.12276
"(4, 2, 276269)",1.1054
"(4, 2, 276737)",1.47792
"(4, 2, 276738)",1.53789
"(5, 0, 276183)",1.00567
"(5, 0, 276184)",1.08215
"(5, 0, 275911)",1.16157
"(5, 0, 275912)",1.12289
"(5, 0, 276240)",1.00432
"(5, 0, 276241)",1.0064799999999998
"(5, 0, 276264)",1.02286
"(5, 0, 276265)",1.2593
"(5, 0, 276268)",1.0422
"(5, 0, 276269)",1.06851
"(5, 0, 276737)",1.38997
"(5, 0, 276738)",1.4225
"(5, 1, 276183)",1.00331
"(5, 1, 276184)",1.05916
"(5, 1, 275911)",1.10155
"(5, 1, 275912)",1.08856
"(5, 1, 276240)",0.970774
"(5, 1, 276241)",1.00613
"(5, 1, 276264)",1.01457
"(5, 1, 276265)",1.24865
"(5, 1, 276268)",1.0757
"(5, 1, 276269)",1.0576
"(5, 1, 276737)",2.15055
"(5, 1, 276738)",2.33466
"(5, 2, 276183)",1.01173
"(5, 2, 276184)",1.07531
"(5, 2, 275911)",1.1307200000000002
"(5, 2, 275912)",1.06566
"(5, 2, 276240)",1.02666
"(5, 2, 276241)",1.02579
"(5, 2, 276264)",0.996893
"(5, 2, 276265)",1.29735
"(5, 2, 276268)",1.07753
"(5, 2, 276269)",1.06462
"(5, 2, 276737)",1.75258
"(5, 2, 276738)",6.75427
"(6, 0, 276183)",0.999635
"(6, 0, 276184)",1.1396
"(6, 0, 275911)",1.4236
"(6, 0, 275912)",1.1517
"(6, 0, 276240)",1.05535
"(6, 0, 276241)",1.06827
"(6, 0, 276264)",1.47112
"(6, 0, 276265)",1.2615
"(6, 0, 276268)",1.13091
"(6, 0, 276269)",1.14667
"(6, 0, 276737)",1.7736599999999998
"(6, 0, 276738)",3.13164
"(6, 1, 276183)",1.02255
"(6, 1, 276184)",1.15346
"(6, 1, 275911)",1.37756
"(6, 1, 275912)",1.1379
"(6, 1, 276240)",1.0903200000000002
"(6, 1, 276241)",1.06736
"(6, 1, 276264)",1.06803
"(6, 1, 276265)",1.34529
"(6, 1, 276268)",1.14611
"(6, 1, 276269)",1.13031
"(6, 1, 276737)",1.35275
"(6, 1, 276738)",3.48266
"(6, 2, 276183)",1.03795
"(6, 2, 276184)",1.17418
"(6, 2, 275911)",1.50087
"(6, 2, 275912)",1.32519
"(6, 2, 276240)",1.04669
"(6, 2, 276241)",1.07831
"(6, 2, 276264)",1.04267
"(6, 2, 276265)",1.22669
"(6, 2, 276268)",1.08026
"(6, 2, 276269)",1.14354
"(6, 2, 276737)",1.52321
"(6, 2, 276738)",3.62171
"(7, 0, 276183)",1.04706
"(7, 0, 276184)",1.18907
"(7, 0, 275911)",1.53054
"(7, 0, 275912)",1.3333700000000002
"(7, 0, 276240)",1.06938
"(7, 0, 276241)",1.08523
"(7, 0, 276264)",1.14683
"(7, 0, 276265)",1.21767
"(7, 0, 276268)",1.10206
"(7, 0, 276269)",1.13852
"(7, 0, 276737)",1.45261
"(7, 0, 276738)",2.98483
"(7, 1, 276183)",1.06247
"(7, 1, 276184)",1.17069
"(7, 1, 275911)",1.45981
"(7, 1, 275912)",1.21945
"(7, 1, 276240)",1.05455
"(7, 1, 276241)",1.07566
"(7, 1, 276264)",1.15705
"(7, 1, 276265)",1.19071
"(7, 1, 276268)",1.1304
"(7, 1, 276269)",1.14529
"(7, 1, 276737)",1.64133
"(7, 1, 276738)",1.97999
"(7, 2, 276183)",1.05949
"(7, 2, 276184)",1.22082
"(7, 2, 275911)",1.40916
"(7, 2, 275912)",1.17979
"(7, 2, 276240)",1.09917
"(7, 2, 276241)",1.07965
"(7, 2, 276264)",1.61238
"(7, 2, 276265)",1.18287
"(7, 2, 276268)",1.15364
"(7, 2, 276269)",1.13966
"(7, 2, 276737)",1.95454
"(7, 2, 276738)",1.74978
"(8, 0, 276183)",1.34695
"(8, 0, 276184)",1.2447
"(8, 0, 275911)",1.36191
"(8, 0, 275912)",1.136
"(8, 0, 276240)",1.05392
"(8, 0, 276241)",1.07595
"(8, 0, 276264)",1.09451
"(8, 0, 276265)",1.2108
"(8, 0, 276268)",1.17626
"(8, 0, 276269)",1.14317
"(8, 0, 276737)",1.97497
"(8, 0, 276738)",3.31633
"(8, 1, 276183)",1.25911
"(8, 1, 276184)",1.2086
"(8, 1, 275911)",1.42462
"(8, 1, 275912)",1.1364299999999998
"(8, 1, 276240)",1.11431
"(8, 1, 276241)",1.06231
"(8, 1, 276264)",1.04056
"(8, 1, 276265)",1.25139
"(8, 1, 276268)",1.15612
"(8, 1, 276269)",1.0992
"(8, 1, 276737)",1.91893
"(8, 1, 276738)",4.32215
"(8, 2, 276183)",1.32812
"(8, 2, 276184)",1.24388
"(8, 2, 275911)",1.40235
"(8, 2, 275912)",1.18523
"(8, 2, 276240)",1.11331
"(8, 2, 276241)",1.09025
"(8, 2, 276264)",1.05357
"(8, 2, 276265)",1.27694
"(8, 2, 276268)",1.09994
"(8, 2, 276269)",1.10775
"(8, 2, 276737)",1.42939
"(8, 2, 276738)",2.37182
"(9, 0, 276183)",1.26721
"(9, 0, 276184)",1.22246
"(9, 0, 275911)",1.35414
"(9, 0, 275912)",1.12517
"(9, 0, 276240)",1.07715
"(9, 0, 276241)",1.12654
"(9, 0, 276264)",1.03237
"(9, 0, 276265)",1.25195
"(9, 0, 276268)",1.15422
"(9, 0, 276269)",1.1348200000000002
"(9, 0, 276737)",1.46256
"(9, 0, 276738)",2.10478
"(9, 1, 276183)",1.1655799999999998
"(9, 1, 276184)",1.21173
"(9, 1, 275911)",1.56108
"(9, 1, 275912)",1.14582
"(9, 1, 276240)",1.1004
"(9, 1, 276241)",1.08348
"(9, 1, 276264)",1.09468
"(9, 1, 276265)",1.22145
"(9, 1, 276268)",1.20935
"(9, 1, 276269)",1.10289
"(9, 1, 276737)",1.33213
"(9, 1, 276738)",1.6251
"(9, 2, 276183)",1.07426
"(9, 2, 276184)",1.25322
"(9, 2, 275911)",1.70019
"(9, 2, 275912)",1.20287
"(9, 2, 276240)",1.13061
"(9, 2, 276241)",1.07973
"(9, 2, 276264)",1.03788
"(9, 2, 276265)",1.19478
"(9, 2, 276268)",1.21607
"(9, 2, 276269)",1.1203299999999998
"(9, 2, 276737)",1.42809
"(9, 2, 276738)",1.31067
"(10, 0, 276183)",1.09562
"(10, 0, 276184)",1.23024
"(10, 0, 275911)",1.50952
"(10, 0, 275912)",1.13793
"(10, 0, 276240)",1.12925
"(10, 0, 276241)",1.1076700000000002
"(10, 0, 276264)",1.01242
"(10, 0, 276265)",1.22217
"(10, 0, 276268)",1.2022700000000002
"(10, 0, 276269)",1.1237
"(10, 0, 276737)",1.26725
"(10, 0, 276738)",1.26339
"(10, 1, 276183)",1.08974
"(10, 1, 276184)",1.16252
"(10, 1, 275911)",1.33247
"(10, 1, 275912)",1.1973200000000002
"(10, 1, 276240)",1.08925
"(10, 1, 276241)",1.1080299999999998
"(10, 1, 276264)",1.01751
"(10, 1, 276265)",1.21898
"(10, 1, 276268)",1.12074
"(10, 1, 276269)",1.07376
"(10, 1, 276737)",1.35786
"(10, 1, 276738)",1.26593
"(10, 2, 276183)",1.10152
"(10, 2, 276184)",1.17779
"(10, 2, 275911)",1.35102
"(10, 2, 275912)",1.10685
"(10, 2, 276240)",1.08733
"(10, 2, 276241)",1.0525
"(10, 2, 276264)",1.05085
"(10, 2, 276265)",1.18647
"(10, 2, 276268)",1.1263
"(10, 2, 276269)",1.11142
"(10, 2, 276737)",1.36566
"(10, 2, 276738)",1.26593
